واحد استاد درس دانشکده کد مقطع ظرفیت پیشنیاز همنیاز دستیار زمان امتحان
3 امیری دیفرانسیل ریاضی 1234 کارشناسی 40 ریاضی1 ریاضی2 طاهری یکشنبه-سهشنبه 16-تیر
4 حیدری ریاضی2 ریاضی 1235 کارشناسی 45 ریاضی1 دیفرانسیل اکبری دوشنبه-چهارشنبه 14-تیر
4 محمدی جبر ریاضی 1231 کارشناسی 20 - - - یکشنبه-سهشنبه 14-تیر
3 حمیدرضاربیعی جبرخطی کامپیوتر 1187 کارشناسی 20 جبر1 - احمدی شنبه-دوشنبه 12-تیر
1 علیرضااجلالی آزسختافزار کامپیوتر 1188 ارشد 4 - سختافزار سلیمی شنبه 13-تیر
1 جعفری آزجامدات عمران 1354 کارشناسی 2 فیزیک2 - زارع سهشنبه 11-تیر
3 امینی مکانیک عمران 1353 کارشناسی 30 - - عظیمی دوشنبه-چهارشنبه 10-تیر
2 محمدمعماریان الکترومغناطیس برق 1472 کارشناسی 35 مغناطیس - بابایی دوشنبه-چهارشنبه 9-تیر
1 رضاسروری آزالکترونیک برق 1473 ارشد 10 - الکترونیک نصیری چهارشنبه 8-تیر
3 ثابت فیزیک2 فیزیک 1813 کارشناسی 50 فیزیک1 - شریفی شنبه-دوشنبه 12-تیر
4 کامیاب موج فیزیک 1814 ارشد 20 - - کاظمی یکشنبه-سهشنبه 7-تیر
2 صادقی تفسیرقرآن معارف 1766 کارشناسی 20 - - - چهارشنبه 5-تیر
2 علیمی انقلاب معارف 1755 کارشناسی 10 - - - دوشنبه 4-تیر
